venue.location.formattedAddress,venue.location.lat,venue.location.lng,venue.location.postalCode,venue.location.state,venue.name
"['125 Flinders Ln (at Higson Ln)', 'Melbourne VIC 3000', 'Australia']",-37.815450585998335,144.97018899519054,3000,VIC,Chin Chin
"['Shop 2, 241 Flinders Ln (at Scott Alley)', 'Melbourne VIC 3000', 'Australia']",-37.81677907030667,144.96629457355047,3000,VIC,Roule Galette
"['187 Flinders Ln (btwn Russell St & Swanston St)', 'Melbourne VIC 3000', 'Australia']",-37.81607530585513,144.96831357222072,3000,VIC,ezard
"['180 Flinders Ln (Watson Pl)', 'Melbourne VIC 3000', 'Australia']",-37.81600255621229,144.96838833246,3000,VIC,Supernormal
"['361 Little Bourke St', 'Melbourne VIC 3000', 'Australia']",-37.81352651659617,144.96197769842925,3000,VIC,Tipo 00
"['141 Flinders Lane', 'Melbourne VIC 3000', 'Australia']",-37.815625260489725,144.9699063536692,3000,VIC,Coda
"['14 Meyers Pl. (Bourke St.)', 'Melbourne VIC 3000', 'Australia']",-37.812300499018754,144.97237782174415,3000,VIC,San Telmo
"['33 Guildford Ln', 'Melbourne CBD VIC 3000', 'Australia']",-37.81134117627816,144.95981631029085,3000,VIC,Brick Lane
"['12 Sutherland Street', 'Melbourne VIC 3000', 'Australia']",-37.81124,144.961,3000,VIC,Shortstop Coffee & Donuts
"['City Rd. (Normanby Rd.)', 'Melbourne VIC 3000', 'Australia']",-37.82566,144.95659,3000,VIC,The Colonial Tramcar Restaurant
"['45 Flinders Ln. (btwn Exhibition St. & Spring St.)', 'Melbourne VIC 3000', 'Australia']",-37.81471543327971,144.97301979646926,3000,VIC,Cumulus Inc.
"['2 Exhibition St (at Flinders St)', 'Melbourne VIC 3000', 'Australia']",-37.815938611114,144.9724460122277,3000,VIC,GAZI
"['440 Collins Street (Gurners Lane)', 'Melbourne VIC 3000', 'Australia']",-37.8172832199505,144.95966191358747,3000,VIC,Sunny Boy Cafe
"['8 Whiteman St.', 'Southbank VIC 3006', 'Australia']",-37.822042,144.960127,3006,VIC,Rockpool Bar & Grill
"['20 Duckboard Pl (Flinders Ln)', 'Melbourne VIC 3000', 'Australia']",-37.81621081931023,144.97157034410785,3000,VIC,Tonka
"['Russell Place', 'Melbourne VIC 3000', 'Australia']",-37.81326117144584,144.96726648998728,3000,VIC,Neapoli
"['16 Oliver Ln (Flinders St)', 'Melbourne VIC 3000', 'Australia']",-37.816246,144.97025,3000,VIC,Bowery to Williamsburg Downtown
"['353 Little Collins St', 'Melbourne VIC 3000', 'Australia']",-37.815653552230046,144.96326415448823,3000,VIC,Dodee Paidang Thai Street Food Bar And Cafe
"['1 Hosier Ln (at Flinders St)', 'Melbourne VIC 3000', 'Australia']",-37.816619,144.969161,3000,VIC,MoVida
"['4/353 Little Collins St (Equitable Pl)', 'Melbourne VIC 3000', 'Australia']",-37.815486437832455,144.9630846580838,3000,VIC,B'cos Brazil
"['19 ACDC Lane (Flinders Ln)', 'Melbourne VIC 3000', 'Australia']",-37.81535376494724,144.9710620451445,3000,VIC,Pastuso
"['19 Somerset Pl. (at Little Bourke St.)', 'Melbourne VIC 3000', 'Australia']",-37.81365768425122,144.96246148295526,3000,VIC,The Little Mule
"['517 Flinders Ln (At King St)', 'Melbourne VIC 3000', 'Australia']",-37.819562,144.956819,3000,VIC,The Grain Store
"['72 Flinders St (Exhibition St)', 'Melbourne VIC 3000', 'Australia']",-37.81595476171492,144.97264452325132,3000,VIC,The Press Club
"['Coromandel Pl', 'Melbourne VIC 3000', 'Australia']",-37.81317951724943,144.96900562515086,3000,VIC,Oli & Levi
"['61 Little Collins St', 'Melbourne VIC 3000', 'Australia']",-37.81301518639396,144.9715635426346,3000,VIC,Sakura Kaiten Sushi
"['4/113 Collins St. (at George Pde)', 'Melbourne VIC 3000', 'Australia']",-37.814868,144.97029,3000,VIC,Il Solito Posto
"['164 Flinders St (at Hosier Ln)', 'Melbourne VIC 3000', 'Australia']",-37.8169017514813,144.9693158715128,3000,VIC,MoVida Next Door
"['35 Market St (Clarke St)', 'South Melbourne VIC 3205', 'Australia']",-37.829437667825054,144.9602651278333,3205,VIC,Dead Man Espresso
"['41 Little Collins St (Spring St)', 'Melbourne VIC 3000', 'Australia']",-37.81277355038026,144.9723110523545,3000,VIC,Lupino
"['8 Rankins Ln (Little Bourke St)', 'Melbourne VIC 3000', 'Australia']",-37.81374034440173,144.96213239807437,3000,VIC,Manchester Press
"['44 Little Bourke St.', 'Melbourne VIC 3000', 'Australia']",-37.810733028183066,144.97114721945104,3000,VIC,Longrain Restaurant & Bar
"['37 Little Collins St', 'Melbourne VIC 3000', 'Australia']",-37.81268505327035,144.97242487543306,3000,VIC,Bar Lourinhã
"['27 McKillop St. (Bourke St.)', 'Melbourne VIC 3000', 'Australia']",-37.81533202223801,144.96164371960356,3000,VIC,Red Spice Road
"['380 Little Bourke St. (Btw Hardware Ln. & Elizabeth St.)', 'Melbourne VIC 3000', 'Australia']",-37.813665078072404,144.96140417211825,3000,VIC,Blok M Express
"['120 Hardware St', 'Melbourne VIC 3000', 'Australia']",-37.812010258216525,144.9604973136649,3000,VIC,The Hardware Société
"['470 Collins St', 'Melbourne VIC 3000', 'Australia']",-37.81786745504662,144.95848869266086,3000,VIC,Royal Stacks
"['27-29 Crossley St', 'Melbourne VIC 3000', 'Australia']",-37.81122295796336,144.97098182082868,3000,VIC,Gingerboy
"['362 Little Bourke St (Warburton Ln)', 'Melbourne VIC 3000', 'Australia']",-37.81352877524485,144.9618675721726,3000,VIC,+39 Pizzeria & Degustation Bar
"['287 Lonsdale street (Emporium Melbourne, Shop 8, Lvl 3)', 'Melbourne VIC 3000', 'Australia']",-37.812723955464676,144.96393013297285,3000,VIC,Calia
"['46 Oxford St', 'Collingwood VIC 3066', 'Australia']",-37.805987535991115,144.98455603402957,3066,VIC,South of Johnston
"['Rear 285-287 Coventry St.', 'South Melbourne VIC 3205', 'Australia']",-37.83281819010758,144.95851540195562,3205,VIC,Chez Dré
"['178 Little Bourke Street', 'Melbourne VIC 3000', 'Australia']",-37.811976748151494,144.96707039348473,3000,VIC,Juicy Bao
"['Level 55, 525 Collins St.', 'Melbourne VIC 3000', 'Australia']",-37.818534387801776,144.9574112892151,3000,VIC,Vue De Monde
"['18 Yarra Pl (btwn York St & Coventry St)', 'South Melbourne VIC 3205', 'Australia']",-37.83128366086617,144.96035810266395,3205,VIC,St. Ali
"['114 Berkeley St. (alt entrance on Barry St.)', 'Carlton VIC 3053', 'Australia']",-37.80287,144.95912,3053,VIC,Seven Seeds
"['8 Collins St', 'Melbourne VIC 3000', 'Australia']",-37.813518688310246,144.97345901690232,3000,VIC,Market Lane Coffee
"['Coventry St', 'Melbourne VIC 3006', 'Australia']",-37.82962509958159,144.9679092993108,3006,VIC,Ayam Chef
"['The Walk Arcade (Shop 17), 309-325 Bourke St. (in The Causeway)', 'Melbourne VIC 3000', 'Australia']",-37.81484998994543,144.96439918097113,3000,VIC,Sushi Monger
"['195 Little Collins St, The Basement', 'Melbourne VIC 3000', 'Australia']",-37.81428080467116,144.967811585384,3000,VIC,Meatmaiden
"[""Queen St (A'Beckett St)"", 'Melbourne VIC', 'Australia']",-37.81007738041657,144.95849047002224,,VIC,ABC Chicken
"['Southern Cross Station, Spencer St (Collins St)', 'Melbourne VIC 3000', 'Australia']",-37.819022564387545,144.9535596370697,3000,VIC,Grill'd
"['3 Southgate Ave', 'Southbank VIC 3006', 'Australia']",-37.81989654887525,144.96600108794541,3006,VIC,ENA greek street food
"['111 Moor St (Kent St)', 'Melbourne VIC 3065', 'Australia']",-37.80163338913466,144.9785810135689,3065,VIC,Smith & Deli
"['25 Wills St', 'Melbourne VIC 3000', 'Australia']",-37.81070534953176,144.95707481619982,3000,VIC,Operator25
"['51 Gipps St (at Rokeby St)', 'Collingwood VIC 3066', 'Australia']",-37.80469117269684,144.98858205713762,3066,VIC,Le Bon Ton
"['650 Little Bourke St', 'Melbourne VIC 3004', 'Australia']",-37.81599506329736,144.953028561221,3004,VIC,Higher Ground
"['71 Bouverie Street', 'Carlton VIC 3053', 'Australia']",-37.80472886414269,144.96192701562697,3053,VIC,Humble Rays
"['G01, 35 Albert Road', 'Melbourne VIC 3004', 'Australia']",-37.834504818375116,144.971561652877,3004,VIC,Crux & Co
"['295 Drummond St (at Faraday St)', 'Carlton VIC 3053', 'Australia']",-37.798954,144.96849,3053,VIC,D.O.C. Pizza & Mozzarella Bar
"['594 Queensberry St.', 'North Melbourne VIC 3051', 'Australia']",-37.80277320561907,144.947505340276,3051,VIC,Twenty & Six Espresso
"['3-7 Ferguson St (Victoria St)', 'Abbotsford VIC 3121', 'Australia']",-37.8094279533989,144.99234456133917,3121,VIC,Jinda Thai Restaurant
"['100 Leicester St (btwn Queensberry & Pelham St)', 'Carlton VIC 3053', 'Australia']",-37.80365213333662,144.96041832839347,3053,VIC,Stovetop
"['260 Lonsdale St', 'Melbourne VIC 3000', 'Australia']",-37.81160191501038,144.96453747828605,3000,VIC,Tokui Sushi
"['535 Little Lonsdale St (on Healeys Ln)', 'Melbourne VIC 3000', 'Australia']",-37.81339668390258,144.9555750368569,3000,VIC,Gami
"['198 Little Lonsdale St (Swanston St)', 'Melbourne VIC 3000', 'Australia']",-37.810736938924215,144.96350688804856,3000,VIC,Don Don
"['172 Oxford St (at Stanley St)', 'Melbourne VIC 3066', 'Australia']",-37.80226473204674,144.9850389723633,3066,VIC,Proud Mary
"[""Shop 4, 19-37 A'Beckett St (at Literature Ln)"", 'Melbourne VIC 3000', 'Australia']",-37.80907787172031,144.96273955813015,3000,VIC,Wonderbao
"['21 Leveson St. (Raglan St.)', 'North Melbourne VIC 3051', 'Australia']",-37.804495673534575,144.9506835768901,3051,VIC,Di Bella Roasting Warehouse
"['83A Smith St', 'Fitzroy VIC 3065', 'Australia']",-37.806306452777015,144.9827688962223,3065,VIC,neko neko
"['376 Smith St', 'Collingwood VIC 3066', 'Australia']",-37.79773,144.98466,3066,VIC,Robert Burns Hotel
"['108 Bank street', 'VIC 3205', 'Australia']",-37.83276720145441,144.96524077753347,3205,Victoria,Aucuba Coffee
"['33 Peel St. (at Cambridge St.)', 'Collingwood VIC 3066', 'Australia']",-37.805361677914895,144.98561012658038,3066,VIC,Mina-no-ie
"['251 Brunswick St (at Greeves St)', 'Fitzroy VIC 3065', 'Australia']",-37.799921402770046,144.97818335246293,3065,VIC,Brunswick Street Alimentari
"['131-133 Domain Rd (at Milswyn St)', 'South Yarra VIC 3141', 'Australia']",-37.83388652256823,144.9805518309621,3141,VIC,Entrecôte
"['100 Little Lonsdale St (Exhibition St)', 'Melbourne VIC 3000', 'Australia']",-37.80921618173004,144.96901480461767,3000,VIC,GaMi Chicken & Beer (가미/佳味)
"['9-11 Peel St (Little Oxford St)', 'Collingwood VIC 3066', 'Australia']",-37.805105411813685,144.9841317246291,3066,VIC,Lazerpig
"['189 Gertrude St', 'Fitzroy VIC 3065', 'Australia']",-37.806043,144.980926,3065,VIC,Archie's All Day
"['435 Elizabeth St', 'Melbourne VIC 3000', 'Australia']",-37.80883,144.9604,3000,VIC,Rose Garden (玫瑰苑燒臘飯店)
"['110 Lygon St. (at Queensberry St.)', 'Melbourne VIC 3053', 'Australia']",-37.804402,144.966488,3053,VIC,Ying Thai 2
"['112 Swan St (Lennox St)', 'Melbourne VIC 3121', 'Australia']",-37.82519427700783,144.99355548146232,3121,VIC,The Beer & Burger Bar
"['192 Wells St', 'South Melbourne VIC', 'Australia']",-37.831965691756274,144.9698305005852,,VIC,Kebabs R' Yummy
"['62 Rose St (Fitzroy St)', 'Melbourne VIC 3065', 'Australia']",-37.79607230155614,144.97766925571617,3065,VIC,Industry Beans
"['367 Swanston St (at Latrobe St)', 'Melbourne VIC 3000', 'Australia']",-37.80972884129902,144.96391261700586,3000,VIC,Mr Burger
