Locality,count,mean,std,min,25%,50%,75%,max
Abbotsford,11.0,1222590.9090909092,386372.6710173623,472500.0,1007500.0,1220000.0,1395000.0,1830000.0
Aberfeldie,15.0,1463233.3333333333,395235.95423975476,910000.0,1158750.0,1515000.0,1770000.0,2050000.0
Airport West,35.0,881960.0,134509.59991981328,620100.0,795000.0,865000.0,968750.0,1250000.0
Albanvale,33.0,541969.696969697,56999.3063820105,415000.0,500000.0,540000.0,572000.0,687500.0
Albert Park,3.0,2016666.6666666667,473532.82181210344,1500000.0,1810000.0,2120000.0,2275000.0,2430000.0
Albion,35.0,718742.8571428572,114879.5002593236,310000.0,644250.0,746000.0,782000.0,965000.0
Alphington,11.0,1627636.3636363635,271680.7953195341,1152000.0,1516000.0,1675000.0,1805000.0,2008000.0
Altona,66.0,975182.0606060605,303587.97200800746,430000.0,750000.0,900500.0,1202250.0,1850000.0
Altona Meadows,42.0,612610.7857142857,162535.36419612684,330000.0,550000.0,600000.0,660013.25,1290000.0
Altona North,34.0,857767.6470588235,128390.57059822704,610000.0,783750.0,840000.0,918750.0,1222000.0
Ardeer,23.0,608695.6521739131,116560.23990062693,417000.0,537500.0,625000.0,658750.0,930000.0
Armadale,2.0,1467500.0,10606.601717798212,1460000.0,1463750.0,1467500.0,1471250.0,1475000.0
Arthurs Creek,1.0,1075000.0,,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0
Arthurs Seat,8.0,1246875.0,417474.87092894927,765000.0,963750.0,1160000.0,1410000.0,2025000.0
Ascot Vale,30.0,1161720.0,251394.84042657568,692500.0,956250.0,1150000.0,1340000.0,1850000.0
Ashburton,33.0,1788227.2727272727,486996.40801596735,900000.0,1550000.0,1755000.0,1972500.0,3510000.0
Ashwood,46.0,1283861.5217391304,286785.54646647954,575000.0,1142000.0,1322500.0,1489750.0,1838000.0
Aspendale,16.0,1089062.5,198549.14379064948,636500.0,1019500.0,1100000.0,1200125.0,1460000.0
Aspendale Gardens,22.0,897022.7272727273,106646.77760326456,700000.0,833750.0,878250.0,958250.0,1126000.0
Attwood,9.0,794000.0,141139.1157688045,510000.0,715000.0,830000.0,881000.0,965000.0
Avonsleigh,7.0,644642.8571428572,110795.12409763133,515000.0,563500.0,630000.0,720250.0,800000.0
Badger Creek,20.0,498400.0,90077.39362406787,390000.0,448500.0,468500.0,530000.0,780000.0
Balaclava,2.0,1705000.0,240416.30560342615,1535000.0,1620000.0,1705000.0,1790000.0,1875000.0
