School,Score,Latitude,Longitude,Suburb,Post,geometry
Lowther Hall Anglican Grammar School,96,-37.7574113,144.9150747,Aberfeldie,3040,POINT (144.9150747 -37.7574113)
Carlton Primary School,74,-37.7940492,144.9721165,Carlton,3053,POINT (144.9721165 -37.7940492)
Carlton North Primary School,93,-37.7912098,144.971647,Carlton North,3054,POINT (144.971647 -37.7912098)
Princes Hill Primary School,86,-37.7825041,144.9765235,Carlton North,3054,POINT (144.9765235 -37.7825041)
Kensington Primary School,92,-37.7937328,144.9275053,Flemington,3031,POINT (144.9275053 -37.7937328)
Flemington Primary School,89,-37.7872552,144.9398341,Flemington,3031,POINT (144.9398341 -37.7872552)
Holy Rosary School,84,-37.7956232,144.9280476,Flemington,3031,POINT (144.9280476 -37.7956232)
St Brendan's School,74,-38.2340069,145.1689741,Flemington,3031,POINT (145.1689741 -38.2340069)
Kensington Primary School,92,-37.7937328,144.9275053,Kensington,3031,POINT (144.9275053 -37.7937328)
Flemington Primary School,89,-37.7872552,144.9398341,Kensington,3031,POINT (144.9398341 -37.7872552)
Holy Rosary School,84,-37.7956232,144.9280476,Kensington,3031,POINT (144.9280476 -37.7956232)
St Brendan's School,74,-38.2340069,145.1689741,Kensington,3031,POINT (145.1689741 -38.2340069)
Albert Park Primary School,97,-37.8406778,144.9558743,Albert Park,3206,POINT (144.9558743 -37.8406778)
Wesley College,95,-37.8369866,144.9759111,Melbourne,3004,POINT (144.9759111 -37.8369866)
Port Melbourne Primary School,90,-37.8356057,144.932998431662,Port Melbourne,3207,POINT (144.932998431662 -37.8356057)
Sunshine Christian School,97,-37.777535,144.8345848,Albion,3020,POINT (144.8345848 -37.777535)
Alphington Primary School,99,-37.7836181,145.032285,Alphington,3078,POINT (145.032285 -37.7836181)
Lauriston Girls' School,99,-37.8521192,145.025724611525,Armadale,3143,POINT (145.025724611525 -37.8521192)
The King David School,98,-37.8600648,145.0103947,Armadale,3143,POINT (145.0103947 -37.8600648)
Middle Park Primary School,92,-37.850743,144.9641887,Albert Park,3206,POINT (144.9641887 -37.850743)
Ashburton Primary School,98,-37.8622321,145.0853879,Ashburton,3147,POINT (145.0853879 -37.8622321)
Ashburton Primary School,98,-37.8622321,145.0853879,Ashwood,3147,POINT (145.0853879 -37.8622321)
Yeshivah and Beth Rivkah Colleges,98,,,Balaclava,3183,POINT (nan nan)
Ripponlea Primary School,87,-37.8747042,145.007216,Balaclava,3183,POINT (145.007216 -37.8747042)
Caulfield Grammar School,97,-37.87647709999999,145.0035722,Balaclava,3183,POINT (145.0035722 -37.87647709999999)
Elwood Primary School,95,-37.8814985,144.9876868,Elwood,3184,POINT (144.9876868 -37.8814985)
St Columba's School,86,-37.812549,145.092471,Elwood,3184,POINT (145.092471 -37.812549)
St Colman's School,67,,,Elwood,3184,POINT (nan nan)
St Mary's School,96,-37.8587196,144.9980294,Balaclava,3183,POINT (144.9980294 -37.8587196)
Middle Park Primary School,92,-37.850743,144.9641887,Middle Park,3206,POINT (144.9641887 -37.850743)
Fintona Girls' School,100,-37.8156612,145.0808032,Balwyn,3103,POINT (145.0808032 -37.8156612)
Balwyn Primary School,99,-37.8128186,145.081348,Balwyn,3103,POINT (145.081348 -37.8128186)
Deepdene Primary School,99,-37.8036594,145.0619777,Balwyn,3103,POINT (145.0619777 -37.8036594)
Adass Israel School,76,-37.883572,145.0084991,Ripponlea,3185,POINT (145.0084991 -37.883572)
St Kilda Park Primary School,95,-37.8579139,144.9775333,St Kilda,3182,POINT (144.9775333 -37.8579139)
St Michael's Grammar School,90,-37.8592111,144.990006729435,St Kilda,3182,POINT (144.990006729435 -37.8592111)
St Kilda Primary School,87,-37.8681267,144.9873113,St Kilda,3182,POINT (144.9873113 -37.8681267)
